,year,month,day,time,chartName,USD ($),GBP (£),EUR (€)
0,2023,Jan,15,12:42:00,Bitcoin,"20,698.46","17,295.47","20,163.32"
1,2023,Jan,15,12:47:00,Bitcoin,"20,710.06","17,305.16","20,174.62"
2,2023,Jan,15,12:52:00,Bitcoin,"20,702.02","17,298.44","20,166.79"
3,2023,Jan,15,12:57:00,Bitcoin,"20,686.58","17,285.54","20,151.75"
4,2023,Jan,15,13:02:00,Bitcoin,"20,700.75","17,297.38","20,165.56"
5,2023,Jan,15,13:07:00,Bitcoin,"20,708.00","17,303.44","20,172.61"
6,2023,Jan,15,13:12:00,Bitcoin,"20,707.94","17,303.39","20,172.56"
7,2023,Jan,15,13:17:00,Bitcoin,"20,721.42","17,314.65","20,185.69"
8,2023,Jan,15,13:22:00,Bitcoin,"20,719.09","17,312.71","20,183.42"
9,2023,Jan,15,13:27:00,Bitcoin,"20,732.49","17,323.91","20,196.48"
10,2023,Jan,15,13:32:00,Bitcoin,"20,732.15","17,323.62","20,196.14"
11,2023,Jan,15,13:37:00,Bitcoin,"20,741.27","17,331.24","20,205.02"
12,2023,Jan,15,13:42:00,Bitcoin,"20,751.35","17,339.66","20,214.85"
13,2023,Jan,15,13:47:00,Bitcoin,"20,706.62","17,302.29","20,171.27"
14,2023,Jan,15,13:52:00,Bitcoin,"20,725.21","17,317.82","20,189.38"
15,2023,Jan,15,13:57:00,Bitcoin,"20,708.41","17,303.78","20,173.02"
16,2023,Jan,15,14:02:00,Bitcoin,"20,707.52","17,303.03","20,172.14"
17,2023,Jan,15,14:07:00,Bitcoin,"20,708.53","17,303.89","20,173.14"
18,2023,Jan,15,14:12:00,Bitcoin,"20,710.44","17,305.48","20,175.00"
19,2023,Jan,15,14:17:00,Bitcoin,"20,710.31","17,305.37","20,174.86"
20,2023,Jan,15,14:22:00,Bitcoin,"20,720.77","17,314.11","20,185.06"
21,2023,Jan,15,14:27:00,Bitcoin,"20,719.54","17,313.08","20,183.86"
22,2023,Jan,15,14:32:00,Bitcoin,"20,723.02","17,315.99","20,187.24"
23,2023,Jan,15,14:37:00,Bitcoin,"20,749.17","17,337.84","20,212.72"
24,2023,Jan,15,14:42:00,Bitcoin,"20,757.14","17,344.50","20,220.49"
25,2023,Jan,15,14:47:00,Bitcoin,"20,757.82","17,345.07","20,221.14"
26,2023,Jan,15,14:52:00,Bitcoin,"20,789.04","17,371.16","20,251.56"
27,2023,Jan,15,14:57:00,Bitcoin,"20,776.83","17,360.96","20,239.67"
